frame,id,x1,y1,x2,y2
5,1,477,497,977,1011
11,1,479,491,971,997
13,1,489,488,978,990
28,1,665,487,1163,989
30,1,718,484,1224,985
31,1,728,483,1243,982
32,1,725,482,1247,979
33,1,717,482,1248,978
37,1,702,478,1237,970
38,2,690,477,1232,968
39,1,680,476,1229,965
40,1,672,476,1227,964
41,1,666,476,1227,964
44,1,679,470,1243,953
46,1,691,464,1258,942
48,1,701,457,1271,929
49,1,707,452,1284,922
62,1,710,441,1281,897
63,1,714,436,1288,887
66,1,729,431,1309,877
67,1,735,429,1324,872
68,1,739,428,1335,870
69,1,740,427,1344,868
70,1,739,426,1351,865
71,1,736,424,1356,863
72,1,734,424,1361,862
73,1,730,423,1363,860
74,1,726,422,1365,859
75,1,722,421,1365,856
76,1,717,421,1365,856
77,1,713,420,1365,855
78,1,708,419,1363,853
81,1,698,417,1355,851
87,3,697,412,1349,840
88,3,704,410,1356,834
89,3,711,409,1366,832
91,3,721,408,1381,830
92,3,728,406,1390,826
93,3,731,404,1398,823
94,3,734,404,1404,821
95,3,736,404,1411,821
96,3,736,402,1413,818
97,3,736,400,1415,814
98,3,736,399,1418,813
99,3,734,399,1419,812
100,3,732,398,1419,810
101,3,729,397,1418,807
102,3,725,396,1415,805
103,3,721,394,1411,802
104,3,715,393,1408,801
106,3,707,391,1397,796
107,3,700,390,1390,794
108,3,694,388,1383,792
110,3,684,388,1371,790
111,1,676,386,1361,787
114,1,698,377,1370,768
119,1,760,353,1403,718
121,4,791,337,1419,687
122,4,802,329,1430,671
123,4,804,325,1436,662
129,4,823,325,1468,662
130,4,830,326,1489,664
131,4,829,330,1506,671
132,4,827,333,1520,678
133,4,826,336,1534,684
137,4,843,320,1535,654
138,5,849,313,1537,638
139,4,849,308,1540,630
146,4,842,309,1544,631
147,4,837,310,1548,632
148,4,833,308,1550,629
151,4,835,303,1546,617
152,4,833,300,1546,611
153,4,830,299,1549,609
154,4,827,299,1553,609
155,4,822,300,1558,611
158,4,818,300,1560,612
168,4,754,300,1497,612
169,4,721,301,1463,613
170,4,702,301,1443,614
180,4,608,302,1342,617
183,4,579,303,1305,618
187,4,652,308,1387,628
188,4,696,313,1441,637
190,4,742,321,1507,654
191,4,771,328,1554,669
193,4,802,340,1615,693
194,4,824,347,1655,708
199,4,905,314,1675,640
201,1,903,353,1769,720
202,3,906,367,1807,749
203,3,912,373,1830,762
204,1,916,377,1844,770
205,4,919,381,1854,777
209,1,917,388,1871,794
210,1,917,394,1879,804
213,1,912,400,1887,817
214,6,910,405,1890,826
215,4,909,409,1890,833
216,6,907,412,1891,838
217,6,906,414,1891,842
225,6,864,410,1832,835
226,6,842,409,1798,832
227,6,838,412,1802,838
228,6,815,407,1758,828
229,6,805,404,1735,822
230,6,798,406,1732,826
233,2,773,403,1687,819
234,6,765,402,1669,818
237,2,746,403,1641,820
239,2,733,401,1617,818
240,2,726,404,1604,822
241,2,722,404,1591,823
246,2,704,405,1563,825
250,2,689,404,1537,823
251,2,676,405,1524,825
252,2,682,405,1518,823
275,6,594,395,1393,803
276,7,562,390,1338,794
322,7,539,389,1312,792
326,7,515,388,1287,790
327,7,492,387,1262,788
327,8,1182,316,2153,644
328,7,468,386,1237,786
328,8,1216,315,2194,643
329,7,445,385,1211,784
329,9,1248,311,2224,636
